"","Transaction ID","Date","value_date","narration","ref_no","mode","merchant_category","repeat_transaction_category","transaction amount  - Debit","transaction amount   - Credit","balance"
"79",79,"31/03/2018","31/03/2018","IMPS/P2A/809200359355/8811851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,34000,"38640.99"
"80",80,"03/04/2018","03/04/2018","IMPS/P2A/809213390578/8821851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"58640.99"
"81",81,"03/04/2018","03/04/2018","IMPS/P2A/809213400979/0000000000/9 234/RMTE0005133",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,5000,"63640.99"
"82",82,"03/04/2018","03/04/2018","IMPS/P2A/809213400980/0000000000/9 234/RMTE0005133",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,5000,"68640.99"
"83",83,"03/04/2018","03/04/2018","IMPS/P2A/809213314789/8821851002/9 240/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,20000,"88640.99"
"84",84,"03/04/2018","03/04/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,88450928",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-12524,0,"76116.99"
"85",85,"03/04/2018","03/04/2018","IMPS/P2A/809309778779/3912718943K KBK/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-1,0,"76115.99"
"86",86,"03/04/2018","03/04/2018","IMPS/P2A/809309778857/3912718943K KBK/OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",-10000,0,"66115.99"
"87",87,"03/04/2018","03/04/2018","NEFT-Mrs. DEEPA KOLLE Sender Brn:MAHB0001083 UTR No:MAHBH18091145914 SENDER Bank:BANK OF MAHARASHTRA Sender Ref No:MAHB0001083",0,"NEFT","Bank Transfers","--UNIQUE TRANSACTION-- ",0,1,"66116.99"
"88",88,"03/04/2018","03/04/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,88498872",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-13800,0,"52316.99"
"89",89,"03/04/2018","03/04/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,88494199",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-17012,0,"35304.99"
"90",90,"03/04/2018","03/04/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,88878955",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-5838,0,"29466.99"
"91",91,"03/04/2018","03/04/2018","ACH DEBIT:TP ACH BAJAJ FINANAC,88458377",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-24645,0,"4821.99"
"92",92,"04/04/2018","04/04/2018","IMPS/P2A/809422099209/9834231021/9 485/MB: OK",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,17500,"22321.99"
"93",93,"05/04/2018","05/04/2018","IMPS/P2A/809507980991/8822251002/9 234/",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,4500,"26821.99"
"94",94,"05/04/2018","05/04/2018","IMPS/P2A/809511887192/9110951149/9 791/COMMENTS",0,"IMPS","Bank Transfers","--UNIQUE TRANSACTION-- ",0,19400,"46221.99"
"95",95,"05/04/2018","05/04/2018","ACH DEBIT:SHRIRAM CITY UNION F,PMPRCCM1708290018",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-7300,0,"38921.99"
"96",96,"05/04/2018","05/04/2018","ACH DEBIT:TP ACH CAPITAL FIRST,89390852",0,"ACH","Bank- ACH","--UNIQUE TRANSACTION-- ",-10193,0,"28728.99"
